well,fov,nuclei
B02,B02_0001,444
B02,B02_0002,562
B02,B02_0003,537
B02,B02_0004,491
B02,B02_0005,561
B02,B02_0006,525
B02,B02_0007,461
B02,B02_0008,542
B02,B02_0009,515
B03,B03_0001,502
B03,B03_0002,481
B03,B03_0003,474
B03,B03_0004,518
B03,B03_0005,518
B03,B03_0006,474
B03,B03_0007,553
B03,B03_0008,560
B03,B03_0009,536
B04,B04_0001,516
B04,B04_0002,556
B04,B04_0003,523
B04,B04_0004,493
B04,B04_0005,562
B04,B04_0006,535
B04,B04_0007,456
B04,B04_0008,609
B04,B04_0009,542
B05,B05_0001,538
B05,B05_0002,528
B05,B05_0003,484
B05,B05_0004,519
B05,B05_0005,619
B05,B05_0006,526
B05,B05_0007,515
B05,B05_0008,576
B05,B05_0009,484
B06,B06_0001,500
B06,B06_0002,551
B06,B06_0003,478
B06,B06_0004,538
B06,B06_0005,650
B06,B06_0006,523
B06,B06_0007,504
B06,B06_0008,563
B06,B06_0009,611
B07,B07_0001,462
B07,B07_0002,509
B07,B07_0003,478
B07,B07_0004,500
B07,B07_0005,420
B07,B07_0006,481
B07,B07_0007,507
B07,B07_0008,506
B07,B07_0009,528
B08,B08_0001,549
B08,B08_0002,521
B08,B08_0003,569
B08,B08_0004,547
B08,B08_0005,554
B08,B08_0006,447
B08,B08_0007,598
B08,B08_0008,572
B08,B08_0009,487
B09,B09_0001,502
B09,B09_0002,482
B09,B09_0003,464
B09,B09_0004,495
B09,B09_0005,479
B09,B09_0006,551
B09,B09_0007,467
B09,B09_0008,577
B09,B09_0009,476
B10,B10_0001,379
B10,B10_0002,408
B10,B10_0003,417
B10,B10_0004,441
B10,B10_0005,461
B10,B10_0006,395
B10,B10_0007,425
B10,B10_0008,427
B10,B10_0009,449
B11,B11_0001,496
B11,B11_0002,362
B11,B11_0003,426
B11,B11_0004,475
B11,B11_0005,544
B11,B11_0006,447
B11,B11_0007,399
B11,B11_0008,472
B11,B11_0009,475
C02,C02_0001,0
C02,C02_0002,0
C02,C02_0003,0
C02,C02_0004,0
C02,C02_0005,0
C02,C02_0006,0
C02,C02_0007,0
C02,C02_0008,0
C02,C02_0009,0
C03,C03_0001,0
C03,C03_0002,0
C03,C03_0003,0
C03,C03_0004,0
C03,C03_0005,0
C03,C03_0006,0
C03,C03_0007,0
C03,C03_0008,0
C03,C03_0009,0
C04,C04_0001,0
C04,C04_0002,0
C04,C04_0003,0
C04,C04_0004,0
C04,C04_0005,0
C04,C04_0006,0
C04,C04_0007,0
C04,C04_0008,0
C04,C04_0009,0
C05,C05_0001,0
C05,C05_0002,0
C05,C05_0003,0
C05,C05_0004,0
C05,C05_0005,0
C05,C05_0006,0
C05,C05_0007,0
C05,C05_0008,0
C05,C05_0009,0
C06,C06_0001,0
C06,C06_0002,0
C06,C06_0003,0
C06,C06_0004,0
C06,C06_0005,0
C06,C06_0006,0
C06,C06_0007,0
C06,C06_0008,0
C06,C06_0009,0
C07,C07_0001,0
C07,C07_0002,0
C07,C07_0003,0
C07,C07_0004,0
C07,C07_0005,0
C07,C07_0006,0
C07,C07_0007,0
C07,C07_0008,0
C07,C07_0009,0
C08,C08_0001,0
C08,C08_0002,0
C08,C08_0003,0
C08,C08_0004,0
C08,C08_0005,0
C08,C08_0006,0
C08,C08_0007,0
C08,C08_0008,0
C08,C08_0009,0
C09,C09_0001,0
C09,C09_0002,0
C09,C09_0003,0
C09,C09_0004,0
C09,C09_0005,0
C09,C09_0006,0
C09,C09_0007,0
C09,C09_0008,0
C09,C09_0009,0
C10,C10_0001,0
C10,C10_0002,0
C10,C10_0003,0
C10,C10_0004,0
C10,C10_0005,0
C10,C10_0006,0
C10,C10_0007,0
C10,C10_0008,0
C10,C10_0009,0
C11,C11_0001,0
C11,C11_0002,0
C11,C11_0003,0
C11,C11_0004,0
C11,C11_0005,0
C11,C11_0006,0
C11,C11_0007,0
C11,C11_0008,0
C11,C11_0009,0
D02,D02_0001,0
D02,D02_0002,0
D02,D02_0003,0
D02,D02_0004,0
D02,D02_0005,0
D02,D02_0006,0
D02,D02_0007,0
D02,D02_0008,0
D02,D02_0009,0
D03,D03_0001,0
D03,D03_0002,0
D03,D03_0003,0
D03,D03_0004,0
D03,D03_0005,0
D03,D03_0006,0
D03,D03_0007,0
D03,D03_0008,0
D03,D03_0009,0
D04,D04_0001,0
D04,D04_0002,0
D04,D04_0003,0
D04,D04_0004,0
D04,D04_0005,0
D04,D04_0006,0
D04,D04_0007,0
D04,D04_0008,0
D04,D04_0009,0
D05,D05_0001,0
D05,D05_0002,0
D05,D05_0003,0
D05,D05_0004,0
D05,D05_0005,0
