,,,2D Analysis of MBP (-debris) area,,,,,,,,,,,,,,3D Wrappiing Analysis of the 2D images,,,,group averages,,,,,,,,,
Well,[debris],[stim],nuclei,MBP-count,MBP-area,MBP-int,MBP-circ,debris-count,debris-area,debris-int,debris-circ,subtracted-count,subtracted-area,subtr-area-per-nuclei,subtracted-int,subtracted-circ,80-wrapped-cond (Ezra algo),80-wrapped-uc (Ezra algo),2D wrapping index (OG algo),,[debris],[stim],nuclei,MBP-area,debris-area,subtracted-area,subtr-area-per-nuclei,2D wrapping index,area SEM,WI SEM
B2,0,0.050777778,5155,263,24126,22601.9,0.778,7839,52982,1718.9,0.988,255,23251,4.51,22430.53,0.753,12,0,0.000969932,,0,0.050666667,5634,23727.66667,37654,23128.33333,4.129552686,0.000956792,0.294695036,0.000262499
C2,0,0.050777778,5695,269,25091,22843.28,0.782,3835,19670,7211.93,0.86,267,24652,4.33,22667.49,0.774,18,2,0.001404741,,0,0.152,5288.333333,145295.3333,1929.333333,145104.3333,27.47269552,0.045712944,1.149520664,0.005831419
D2,0,0.050777778,6052,288,21966,18506.49,0.813,6747,40310,1466.76,0.984,284,21482,3.55,18360.25,0.806,10,0,0.000495704,,0,0.457,5274.666667,141336.3333,525.6666667,140945.6667,26.71883089,0.052422323,0.475652343,0.005573787
B3,0,0.152333333,5175,1796,154226,22000.65,0.785,1074,3653,758.9,0.971,1796,153789,29.72,21938.17,0.783,530,66,0.039806763,,0,1.37,5390.333333,133359.3333,203.6666667,133160,24.71799079,0.07030899,0.324446343,0.006448814
C3,0,0.152333333,5159,1795,138277,20090.77,0.793,225,2024,3382.14,0.834,1795,138155,26.78,20072.84,0.793,669,84,0.05737546,,0,4.12,5513.666667,141990.3333,217.3333333,141983.3333,25.82013053,0.083107635,0.896931841,0.00966584
D3,0,0.152333333,5531,1943,143383,19174.55,0.79,17,111,1182.92,0.658,1942,143369,25.92,19180.36,0.79,498,67,0.039956608,,0,12.4,5278,143901,112.3333333,143975.3333,27.47654337,0.097115855,1.36684246,0.007001971
B4,0,0.457,5422,2149,150730,18089.41,0.797,98,1167,6920.25,0.729,2149,149883,27.64,17986.51,0.797,699,99,0.062891922,,0,37,5609,141005.3333,145,140498,25.05079938,0.090708076,0.279557455,0.013734438
C4,0,0.457,4772,1795,126251,18118.6,0.793,11,104,478.52,0.302,1793,126220,26.45,18139.99,0.792,554,91,0.050502934,,0,111,5065.333333,140114.6667,179.3333333,140564.3333,27.73618256,0.092435628,1.185874215,0.012973154
D4,0,0.457,5630,2120,147028,17698.96,0.792,1,306,8670,0.078,2121,146734,26.06,17637.16,0.792,520,67,0.043872114,,0,333,4717.333333,123426.6667,218.6666667,123329,26.27191498,0.08996112,2.228388224,0.014165957
B5,0,1.37,5444,2080,135418,16868.94,0.81,6,145,2195.83,0.416,2079,134810,24.76,16814.43,0.81,801,142,0.082108744,,0,1000,4698.666667,106098.6667,533.6666667,105895.6667,22.76481642,0.043850364,2.953167664,0.008148176
C5,0,1.37,5151,1945,130094,17460.17,0.799,1,17,481.67,0.111,1945,130094,25.26,17460.17,0.799,650,124,0.068918657,,750,0.050666667,5912.333333,139377.3333,127976,89118.33333,14.97744592,0.00352294,2.31657545,0.001397697
D5,0,1.37,5576,2151,134566,16266.55,0.803,14,449,4278.33,0.308,2152,134576,24.13,16262.37,0.803,645,130,0.05989957,,750,0.152,6230.333333,255604,48365.66667,219009.6667,35.14209568,0.045088183,1.812450586,0.004211743
B6,0,4.12,5667,2212,153455,18124.93,0.804,4,440,12466.67,0.397,2212,153455,27.08,18124.93,0.804,704,174,0.075701429,,750,0.457,5990,246864.3333,59336.33333,208466.3333,34.77938744,0.072569642,0.904947348,0.006152415
C6,0,4.12,4791,1849,126014,17467.59,0.813,5,212,4948.89,0.249,1849,125993,26.30,17464.89,0.813,918,196,0.102275099,,750,1.37,6142.333333,272137.3333,63283.66667,227398.6667,37.03534183,0.087317224,1.866275064,0.006019596
